ID,Time Stamp,DG_On_Load,DG_ON,DGFuelLow,Door_Open,SiteOnBat,Mains_Fail,Fire_Smoke,DGBatt_Low,Room_Temp,Rack_Temp,Batt_Volt,L1_Voltage,L2_Voltage,L3_Voltage,RectFail,Rec_LowV,DG_AC
1,4/1/2018 16:15,No,No,NOT-PROV,Yes,No,No,No,No,20.76,20.03,54.98,237.72,0,0,No,NOT-PROV,0
2,4/1/2018 16:13,No,No,NOT-PROV,Yes,No,No,No,No,21.37,20.76,54.98,237.52,0,0,No,NOT-PROV,0
3,4/1/2018 16:11,No,No,NOT-PROV,Yes,No,No,No,No,21.12,20.52,54.98,237.33,0,0,No,NOT-PROV,0
4,4/1/2018 16:09,No,No,NOT-PROV,Yes,No,No,No,No,21.24,20.64,54.92,237.91,0,0,No,NOT-PROV,0
5,4/1/2018 16:07,No,No,NOT-PROV,Yes,No,No,No,No,21.37,20.76,54.98,236.84,0,0,No,NOT-PROV,0
6,4/1/2018 16:05,No,No,NOT-PROV,Yes,No,No,No,No,21.24,20.76,55.1,237.43,0,0,No,NOT-PROV,0
7,4/1/2018 16:03,No,No,NOT-PROV,Yes,No,No,No,No,21.12,20.52,54.98,237.43,0,0,No,NOT-PROV,0
8,4/1/2018 16:00,No,No,NOT-PROV,Yes,No,No,No,No,21.12,20.4,54.92,237.82,0,0,No,NOT-PROV,0
9,4/1/2018 15:59,No,No,NOT-PROV,Yes,No,No,No,No,20.64,20.03,54.92,237.23,0,0,No,NOT-PROV,0
10,4/1/2018 15:54,No,No,NOT-PROV,Yes,No,No,No,No,20.76,20.03,54.92,235.27,0,0,No,NOT-PROV,0
11,4/1/2018 15:52,No,No,NOT-PROV,Yes,No,No,No,No,20.88,20.15,54.98,235.76,0,0,No,NOT-PROV,0
12,4/1/2018 15:51,No,No,NOT-PROV,Yes,No,No,No,No,20.88,20.28,54.98,235.37,0,0,No,NOT-PROV,0
13,4/1/2018 15:46,No,No,NOT-PROV,Yes,No,No,No,No,21,20.4,54.92,236.64,0,0,No,NOT-PROV,0
14,4/1/2018 15:45,No,No,NOT-PROV,Yes,No,No,No,No,20.76,20.28,54.92,236.84,0,0,No,NOT-PROV,0
15,4/1/2018 15:42,No,No,NOT-PROV,Yes,No,No,No,No,21.12,20.52,54.86,236.74,0,0,No,NOT-PROV,0
16,4/1/2018 15:41,No,No,NOT-PROV,Yes,No,No,No,No,21.49,21,54.92,236.35,0,0,No,NOT-PROV,0
17,4/1/2018 15:39,No,No,NOT-PROV,Yes,No,No,No,No,21.12,20.76,54.98,236.55,0,0,No,NOT-PROV,0
18,4/1/2018 15:37,No,No,NOT-PROV,Yes,No,No,No,No,21.24,20.76,54.98,237.03,0,0,No,NOT-PROV,0
19,4/1/2018 15:35,No,No,NOT-PROV,Yes,No,No,No,No,21.61,21.37,54.98,236.84,0,0,No,NOT-PROV,0
20,4/1/2018 15:32,No,No,NOT-PROV,Yes,No,No,No,No,20.76,20.15,54.98,237.52,0,0,No,NOT-PROV,0
21,4/1/2018 15:31,No,No,NOT-PROV,Yes,No,No,No,No,21.12,18.94,54.98,238.01,0,0,No,NOT-PROV,0
22,4/1/2018 15:29,No,No,NOT-PROV,Yes,No,No,No,No,20.76,19.91,54.98,238.01,0,0,No,NOT-PROV,0
23,4/1/2018 15:27,No,No,NOT-PROV,Yes,No,No,No,No,20.76,20.03,54.98,237.62,0,0,No,NOT-PROV,0
24,4/1/2018 15:25,No,No,NOT-PROV,Yes,No,No,No,No,20.76,20.15,54.98,236.94,0,0,No,NOT-PROV,0
25,4/1/2018 15:23,No,No,NOT-PROV,Yes,No,No,No,No,20.76,20.15,54.98,237.23,0,0,No,NOT-PROV,0
