CodeNo,BTSName,DgOnLoad,SiteOnBat,HasRecord,RecordDate
IMJBL-39215,Magarmuna,0,3846,1,3/1/2017
IMJBL-39356,Sahsan,0,0,1,3/1/2017
IMJBL-39229,Shahpura,0,0,0,3/1/2017
IMJBL-39239,Parsel,0,0,0,3/1/2017
IMJBL-39222,Patan,0,0,0,3/1/2017
IMJBL-39223,Guru Mohalla-  Patan,0,0,0,3/1/2017
IMJBL-39237,Gubra Kalan,0,0,0,3/1/2017
IMJBL-39292,Khini,0,0,0,3/1/2017
IMREW-46002,Jamuna Pasan,0,0,0,3/1/2017
IMREW-46031,Amadand,0,0,0,3/1/2017
IMJBL-15004,Ghunghuti,0,0,0,3/1/2017
IMJBL-15002,Nowrozabad,0,0,0,3/1/2017
IMJBL-15003,Pali,0,0,0,3/1/2017
IMJBL-15008,Pali BB,0,0,0,3/1/2017
IMJBL-15067,BADERI,0,0,0,3/1/2017
IMJBL-15068,NIGHARI,0,0,0,3/1/2017
IMJBL-15006,Bhagra(Umaria),0,0,0,3/1/2017
IMJBL-38081,Khamtara,0,0,0,3/1/2017
IMJBL-38061,Ganeshpur_ Rptr,0,0,0,3/1/2017
IMREW-46016,Budhanpur,0,0,0,3/1/2017
IMREW-46025,Funga,0,0,0,3/1/2017
IMREW-46023,Nigwani,0,0,0,3/1/2017
IMREW-46017,Pipariya,0,0,0,3/1/2017
IMJBL-15013,BHAROLA,0,0,0,3/1/2017
IMJBL-15023,Karkeli,0,0,0,3/1/2017
IMJBL-38019,Badwara,0,0,0,3/1/2017
IMJBL-38131,KATARIYA,0,0,0,3/1/2017
IMJBL-15027,LOHRA,0,0,0,3/1/2017
IMJBL-15001,Umaria 2,0,0,0,3/1/2017
IMJBL-39215,Magarmuna,0,11343,1,3/2/2017
IMJBL-39356,Sahsan,0,0,1,3/2/2017
IMJBL-39229,Shahpura,0,0,1,3/2/2017
IMJBL-39239,Parsel,0,0,0,3/2/2017
IMJBL-39222,Patan,0,0,0,3/2/2017
IMJBL-39223,Guru Mohalla-  Patan,0,0,0,3/2/2017
IMJBL-39237,Gubra Kalan,0,0,0,3/2/2017
IMJBL-39292,Khini,0,0,0,3/2/2017
IMREW-46002,Jamuna Pasan,0,0,0,3/2/2017
IMREW-46031,Amadand,0,0,0,3/2/2017
IMJBL-15004,Ghunghuti,0,0,0,3/2/2017
IMJBL-15002,Nowrozabad,0,0,0,3/2/2017
IMJBL-15003,Pali,0,0,0,3/2/2017
IMJBL-15008,Pali BB,0,0,0,3/2/2017
IMJBL-15067,BADERI,0,0,0,3/2/2017
IMJBL-15068,NIGHARI,0,0,0,3/2/2017
IMJBL-15006,Bhagra(Umaria),0,0,0,3/2/2017
IMJBL-38081,Khamtara,0,0,0,3/2/2017
IMJBL-38061,Ganeshpur_ Rptr,0,0,0,3/2/2017
IMREW-46016,Budhanpur,0,0,0,3/2/2017
IMREW-46025,Funga,0,0,0,3/2/2017
IMREW-46023,Nigwani,0,0,0,3/2/2017
IMREW-46017,Pipariya,0,0,0,3/2/2017
IMJBL-15013,BHAROLA,0,0,0,3/2/2017
IMJBL-15023,Karkeli,0,0,0,3/2/2017
IMJBL-38019,Badwara,0,0,0,3/2/2017
IMJBL-38131,KATARIYA,0,0,0,3/2/2017
IMJBL-15027,LOHRA,0,0,0,3/2/2017
IMJBL-15001,Umaria 2,0,0,0,3/2/2017
IMJBL-39215,Magarmuna,0,0,1,3/3/2017
IMJBL-39356,Sahsan,0,0,1,3/3/2017
IMJBL-39229,Shahpura,0,0,1,3/3/2017
IMJBL-39239,Parsel,0,0,0,3/3/2017
IMJBL-39222,Patan,0,0,0,3/3/2017
IMJBL-39223,Guru Mohalla-  Patan,0,0,0,3/3/2017
IMJBL-39237,Gubra Kalan,0,0,0,3/3/2017
IMJBL-39292,Khini,0,0,0,3/3/2017
IMREW-46002,Jamuna Pasan,0,0,0,3/3/2017
IMREW-46031,Amadand,0,0,0,3/3/2017
IMJBL-15004,Ghunghuti,0,0,0,3/3/2017
IMJBL-15002,Nowrozabad,0,0,0,3/3/2017
IMJBL-15003,Pali,0,0,0,3/3/2017
IMJBL-15008,Pali BB,0,0,0,3/3/2017
IMJBL-15067,BADERI,0,0,0,3/3/2017
IMJBL-15068,NIGHARI,0,0,0,3/3/2017
IMJBL-15006,Bhagra(Umaria),0,0,0,3/3/2017
IMJBL-38081,Khamtara,0,0,0,3/3/2017
IMJBL-38061,Ganeshpur_ Rptr,0,0,0,3/3/2017
IMREW-46016,Budhanpur,0,0,0,3/3/2017
IMREW-46025,Funga,0,0,0,3/3/2017
IMREW-46023,Nigwani,0,0,0,3/3/2017
IMREW-46017,Pipariya,0,0,0,3/3/2017
IMJBL-15013,BHAROLA,0,0,0,3/3/2017
IMJBL-15023,Karkeli,0,0,0,3/3/2017
IMJBL-38019,Badwara,0,0,0,3/3/2017
IMJBL-38131,KATARIYA,0,0,0,3/3/2017
IMJBL-15027,LOHRA,0,0,0,3/3/2017
IMJBL-15001,Umaria 2,0,0,0,3/3/2017
IMJBL-39215,Magarmuna,0,5081,1,3/4/2017
IMJBL-39356,Sahsan,0,0,1,3/4/2017
IMJBL-39229,Shahpura,0,0,1,3/4/2017
IMJBL-39239,Parsel,5748,0,1,3/4/2017
IMJBL-39222,Patan,0,0,0,3/4/2017
IMJBL-39223,Guru Mohalla-  Patan,0,0,0,3/4/2017
IMJBL-39237,Gubra Kalan,0,0,0,3/4/2017
IMJBL-39292,Khini,0,0,0,3/4/2017
IMREW-46002,Jamuna Pasan,0,0,0,3/4/2017
IMREW-46031,Amadand,0,0,0,3/4/2017
IMJBL-15004,Ghunghuti,0,0,0,3/4/2017
IMJBL-15002,Nowrozabad,0,0,0,3/4/2017
IMJBL-15003,Pali,0,0,0,3/4/2017
IMJBL-15008,Pali BB,0,0,0,3/4/2017
IMJBL-15067,BADERI,0,0,0,3/4/2017
IMJBL-15068,NIGHARI,0,0,0,3/4/2017
IMJBL-15006,Bhagra(Umaria),0,0,0,3/4/2017
IMJBL-38081,Khamtara,0,0,0,3/4/2017
IMJBL-38061,Ganeshpur_ Rptr,0,0,0,3/4/2017
IMREW-46016,Budhanpur,0,0,0,3/4/2017
IMREW-46025,Funga,0,0,0,3/4/2017
IMREW-46023,Nigwani,0,0,0,3/4/2017
IMREW-46017,Pipariya,0,0,0,3/4/2017
IMJBL-15013,BHAROLA,0,0,0,3/4/2017
IMJBL-15023,Karkeli,0,0,0,3/4/2017
IMJBL-38019,Badwara,0,0,0,3/4/2017
IMJBL-38131,KATARIYA,0,0,0,3/4/2017
IMJBL-15027,LOHRA,0,0,0,3/4/2017
IMJBL-15001,Umaria 2,0,0,0,3/4/2017
IMJBL-39215,Magarmuna,0,0,0,3/5/2017
IMJBL-39356,Sahsan,0,0,0,3/5/2017
IMJBL-39229,Shahpura,0,0,0,3/5/2017
IMJBL-39239,Parsel,0,0,0,3/5/2017
IMJBL-39222,Patan,0,0,0,3/5/2017
IMJBL-39223,Guru Mohalla-  Patan,0,0,0,3/5/2017
IMJBL-39237,Gubra Kalan,0,0,0,3/5/2017
IMJBL-39292,Khini,0,0,0,3/5/2017
IMREW-46002,Jamuna Pasan,0,0,0,3/5/2017
IMREW-46031,Amadand,0,0,0,3/5/2017
IMJBL-15004,Ghunghuti,0,0,0,3/5/2017
IMJBL-15002,Nowrozabad,0,0,0,3/5/2017
IMJBL-15003,Pali,0,0,0,3/5/2017
IMJBL-15008,Pali BB,0,0,0,3/5/2017
IMJBL-15067,BADERI,0,0,0,3/5/2017
IMJBL-15068,NIGHARI,0,0,0,3/5/2017
IMJBL-15006,Bhagra(Umaria),0,0,0,3/5/2017
IMJBL-38081,Khamtara,0,0,0,3/5/2017
IMJBL-38061,Ganeshpur_ Rptr,0,0,0,3/5/2017
IMREW-46016,Budhanpur,0,0,0,3/5/2017
IMREW-46025,Funga,0,0,0,3/5/2017
IMREW-46023,Nigwani,0,0,0,3/5/2017
IMREW-46017,Pipariya,0,0,0,3/5/2017
IMJBL-15013,BHAROLA,0,0,0,3/5/2017
IMJBL-15023,Karkeli,0,0,0,3/5/2017
IMJBL-38019,Badwara,0,0,0,3/5/2017
IMJBL-38131,KATARIYA,0,0,0,3/5/2017
IMJBL-15027,LOHRA,0,0,0,3/5/2017
IMJBL-15001,Umaria 2,0,0,0,3/5/2017
IMJBL-39215,Magarmuna,0,0,1,3/6/2017
IMJBL-39356,Sahsan,0,0,1,3/6/2017
IMJBL-39229,Shahpura,0,0,1,3/6/2017
IMJBL-39239,Parsel,1085,0,1,3/6/2017
IMJBL-39222,Patan,0,0,0,3/6/2017
IMJBL-39223,Guru Mohalla-  Patan,0,0,0,3/6/2017
IMJBL-39237,Gubra Kalan,0,0,0,3/6/2017
IMJBL-39292,Khini,0,0,0,3/6/2017
IMREW-46002,Jamuna Pasan,0,0,0,3/6/2017
IMREW-46031,Amadand,0,0,0,3/6/2017
IMJBL-15004,Ghunghuti,0,0,0,3/6/2017
IMJBL-15002,Nowrozabad,0,0,0,3/6/2017
IMJBL-15003,Pali,0,0,0,3/6/2017
IMJBL-15008,Pali BB,0,0,0,3/6/2017
IMJBL-15067,BADERI,0,0,0,3/6/2017
IMJBL-15068,NIGHARI,0,0,0,3/6/2017
IMJBL-15006,Bhagra(Umaria),0,0,0,3/6/2017
IMJBL-38081,Khamtara,0,0,0,3/6/2017
IMJBL-38061,Ganeshpur_ Rptr,0,0,0,3/6/2017
IMREW-46016,Budhanpur,0,0,0,3/6/2017
IMREW-46025,Funga,0,0,0,3/6/2017
IMREW-46023,Nigwani,0,0,0,3/6/2017
IMREW-46017,Pipariya,0,0,0,3/6/2017
IMJBL-15013,BHAROLA,0,0,0,3/6/2017
IMJBL-15023,Karkeli,0,0,0,3/6/2017
IMJBL-38019,Badwara,0,0,0,3/6/2017
IMJBL-38131,KATARIYA,0,0,0,3/6/2017
IMJBL-15027,LOHRA,0,0,0,3/6/2017
IMJBL-15001,Umaria 2,0,0,0,3/6/2017
IMJBL-39215,Magarmuna,0,0,1,3/7/2017
IMJBL-39356,Sahsan,0,0,1,3/7/2017
IMJBL-39229,Shahpura,0,0,1,3/7/2017
IMJBL-39239,Parsel,13938,0,1,3/7/2017
IMJBL-39222,Patan,0,0,0,3/7/2017
IMJBL-39223,Guru Mohalla-  Patan,0,0,0,3/7/2017
IMJBL-39237,Gubra Kalan,0,0,1,3/7/2017
IMJBL-39292,Khini,0,0,1,3/7/2017
IMREW-46002,Jamuna Pasan,0,0,0,3/7/2017
IMREW-46031,Amadand,0,0,0,3/7/2017
IMJBL-15004,Ghunghuti,0,0,0,3/7/2017
IMJBL-15002,Nowrozabad,0,0,0,3/7/2017
IMJBL-15003,Pali,0,0,0,3/7/2017
IMJBL-15008,Pali BB,0,0,0,3/7/2017
IMJBL-15067,BADERI,0,0,0,3/7/2017
IMJBL-15068,NIGHARI,0,0,0,3/7/2017
IMJBL-15006,Bhagra(Umaria),0,0,0,3/7/2017
IMJBL-38081,Khamtara,0,0,0,3/7/2017
IMJBL-38061,Ganeshpur_ Rptr,0,0,0,3/7/2017
IMREW-46016,Budhanpur,0,0,0,3/7/2017
IMREW-46025,Funga,0,0,0,3/7/2017
IMREW-46023,Nigwani,0,0,0,3/7/2017
IMREW-46017,Pipariya,0,0,0,3/7/2017
IMJBL-15013,BHAROLA,0,0,0,3/7/2017
IMJBL-15023,Karkeli,0,0,0,3/7/2017
IMJBL-38019,Badwara,0,0,0,3/7/2017
IMJBL-38131,KATARIYA,0,0,0,3/7/2017
IMJBL-15027,LOHRA,0,0,0,3/7/2017
IMJBL-15001,Umaria 2,0,0,0,3/7/2017
IMJBL-39215,Magarmuna,0,5461,1,3/8/2017
IMJBL-39356,Sahsan,0,0,1,3/8/2017
IMJBL-39229,Shahpura,1101,0,1,3/8/2017
IMJBL-39239,Parsel,0,0,1,3/8/2017
IMJBL-39222,Patan,0,0,0,3/8/2017
IMJBL-39223,Guru Mohalla-  Patan,0,0,0,3/8/2017
IMJBL-39237,Gubra Kalan,0,0,1,3/8/2017
IMJBL-39292,Khini,0,0,1,3/8/2017
IMREW-46002,Jamuna Pasan,0,0,0,3/8/2017
IMREW-46031,Amadand,0,0,0,3/8/2017
IMJBL-15004,Ghunghuti,0,0,0,3/8/2017
IMJBL-15002,Nowrozabad,0,0,0,3/8/2017
IMJBL-15003,Pali,0,0,0,3/8/2017
IMJBL-15008,Pali BB,0,0,0,3/8/2017
IMJBL-15067,BADERI,0,0,0,3/8/2017
IMJBL-15068,NIGHARI,0,0,0,3/8/2017
IMJBL-15006,Bhagra(Umaria),0,0,0,3/8/2017
IMJBL-38081,Khamtara,0,0,0,3/8/2017
IMJBL-38061,Ganeshpur_ Rptr,0,0,0,3/8/2017
IMREW-46016,Budhanpur,0,0,0,3/8/2017
IMREW-46025,Funga,0,0,0,3/8/2017
IMREW-46023,Nigwani,0,0,0,3/8/2017
IMREW-46017,Pipariya,0,0,0,3/8/2017
IMJBL-15013,BHAROLA,0,0,0,3/8/2017
IMJBL-15023,Karkeli,0,0,0,3/8/2017
IMJBL-38019,Badwara,0,0,0,3/8/2017
IMJBL-38131,KATARIYA,0,0,0,3/8/2017
IMJBL-15027,LOHRA,0,0,0,3/8/2017
IMJBL-15001,Umaria 2,0,0,0,3/8/2017
IMJBL-39215,Magarmuna,4457,9814,1,3/9/2017
IMJBL-39356,Sahsan,0,0,1,3/9/2017
IMJBL-39229,Shahpura,0,0,1,3/9/2017
IMJBL-39239,Parsel,8144,0,1,3/9/2017
IMJBL-39222,Patan,0,0,0,3/9/2017
IMJBL-39223,Guru Mohalla-  Patan,0,0,0,3/9/2017
IMJBL-39237,Gubra Kalan,0,0,1,3/9/2017
IMJBL-39292,Khini,0,0,1,3/9/2017
IMREW-46002,Jamuna Pasan,0,0,0,3/9/2017
IMREW-46031,Amadand,0,0,0,3/9/2017
IMJBL-15004,Ghunghuti,0,0,0,3/9/2017
IMJBL-15002,Nowrozabad,0,0,0,3/9/2017
IMJBL-15003,Pali,0,0,0,3/9/2017
IMJBL-15008,Pali BB,0,0,0,3/9/2017
IMJBL-15067,BADERI,0,0,0,3/9/2017
IMJBL-15068,NIGHARI,0,0,0,3/9/2017
IMJBL-15006,Bhagra(Umaria),0,0,0,3/9/2017
IMJBL-38081,Khamtara,0,0,0,3/9/2017
IMJBL-38061,Ganeshpur_ Rptr,0,0,0,3/9/2017
IMREW-46016,Budhanpur,0,0,0,3/9/2017
IMREW-46025,Funga,0,0,0,3/9/2017
IMREW-46023,Nigwani,0,0,0,3/9/2017
IMREW-46017,Pipariya,0,0,0,3/9/2017
IMJBL-15013,BHAROLA,0,0,0,3/9/2017
IMJBL-15023,Karkeli,0,0,0,3/9/2017
IMJBL-38019,Badwara,0,0,0,3/9/2017
IMJBL-38131,KATARIYA,0,0,0,3/9/2017
IMJBL-15027,LOHRA,0,0,0,3/9/2017
IMJBL-15001,Umaria 2,0,0,0,3/9/2017
IMJBL-39215,Magarmuna,6289,13891,1,3/10/2017
IMJBL-39356,Sahsan,0,0,1,3/10/2017
IMJBL-39229,Shahpura,0,0,1,3/10/2017
IMJBL-39239,Parsel,24968,0,1,3/10/2017
IMJBL-39222,Patan,0,0,0,3/10/2017
IMJBL-39223,Guru Mohalla-  Patan,1286,0,1,3/10/2017
IMJBL-39237,Gubra Kalan,0,0,1,3/10/2017
IMJBL-39292,Khini,0,0,1,3/10/2017
IMREW-46002,Jamuna Pasan,0,0,0,3/10/2017
IMREW-46031,Amadand,0,0,0,3/10/2017
IMJBL-15004,Ghunghuti,0,0,0,3/10/2017
IMJBL-15002,Nowrozabad,0,0,0,3/10/2017
IMJBL-15003,Pali,0,0,0,3/10/2017
IMJBL-15008,Pali BB,0,0,0,3/10/2017
IMJBL-15067,BADERI,0,0,0,3/10/2017
IMJBL-15068,NIGHARI,0,0,0,3/10/2017
IMJBL-15006,Bhagra(Umaria),0,0,0,3/10/2017
IMJBL-38081,Khamtara,0,0,0,3/10/2017
IMJBL-38061,Ganeshpur_ Rptr,0,0,0,3/10/2017
IMREW-46016,Budhanpur,0,0,0,3/10/2017
IMREW-46025,Funga,0,0,0,3/10/2017
IMREW-46023,Nigwani,0,0,0,3/10/2017
IMREW-46017,Pipariya,0,0,0,3/10/2017
IMJBL-15013,BHAROLA,0,0,0,3/10/2017
IMJBL-15023,Karkeli,0,0,0,3/10/2017
IMJBL-38019,Badwara,0,0,0,3/10/2017
IMJBL-38131,KATARIYA,0,0,0,3/10/2017
IMJBL-15027,LOHRA,0,0,0,3/10/2017
IMJBL-15001,Umaria 2,0,0,0,3/10/2017
IMJBL-39215,Magarmuna,2462,10082,1,3/11/2017
IMJBL-39356,Sahsan,0,0,1,3/11/2017
IMJBL-39229,Shahpura,315,0,1,3/11/2017
IMJBL-39239,Parsel,17976,0,1,3/11/2017
IMJBL-39222,Patan,0,0,0,3/11/2017
IMJBL-39223,Guru Mohalla-  Patan,0,0,1,3/11/2017
IMJBL-39237,Gubra Kalan,0,0,1,3/11/2017
IMJBL-39292,Khini,0,0,1,3/11/2017
IMREW-46002,Jamuna Pasan,0,0,0,3/11/2017
IMREW-46031,Amadand,0,0,0,3/11/2017
IMJBL-15004,Ghunghuti,0,0,0,3/11/2017
IMJBL-15002,Nowrozabad,0,0,0,3/11/2017
IMJBL-15003,Pali,0,0,0,3/11/2017
IMJBL-15008,Pali BB,0,0,0,3/11/2017
IMJBL-15067,BADERI,0,0,0,3/11/2017
IMJBL-15068,NIGHARI,0,0,0,3/11/2017
IMJBL-15006,Bhagra(Umaria),0,0,0,3/11/2017
IMJBL-38081,Khamtara,0,0,0,3/11/2017
IMJBL-38061,Ganeshpur_ Rptr,0,0,0,3/11/2017
IMREW-46016,Budhanpur,0,0,0,3/11/2017
IMREW-46025,Funga,0,0,0,3/11/2017
IMREW-46023,Nigwani,0,0,0,3/11/2017
IMREW-46017,Pipariya,0,0,0,3/11/2017
IMJBL-15013,BHAROLA,0,0,0,3/11/2017
IMJBL-15023,Karkeli,0,0,0,3/11/2017
IMJBL-38019,Badwara,0,0,0,3/11/2017
IMJBL-38131,KATARIYA,0,0,0,3/11/2017
IMJBL-15027,LOHRA,0,0,0,3/11/2017
IMJBL-15001,Umaria 2,0,0,0,3/11/2017
IMJBL-39215,Magarmuna,0,3116,1,3/12/2017
IMJBL-39356,Sahsan,3605,0,1,3/12/2017
IMJBL-39229,Shahpura,0,0,1,3/12/2017
IMJBL-39239,Parsel,26626,0,1,3/12/2017
IMJBL-39222,Patan,0,0,0,3/12/2017
IMJBL-39223,Guru Mohalla-  Patan,0,0,1,3/12/2017
IMJBL-39237,Gubra Kalan,0,0,1,3/12/2017
IMJBL-39292,Khini,0,0,1,3/12/2017
IMREW-46002,Jamuna Pasan,0,0,0,3/12/2017
IMREW-46031,Amadand,0,0,0,3/12/2017
IMJBL-15004,Ghunghuti,0,0,0,3/12/2017
IMJBL-15002,Nowrozabad,0,0,0,3/12/2017
IMJBL-15003,Pali,0,0,0,3/12/2017
IMJBL-15008,Pali BB,0,0,0,3/12/2017
IMJBL-15067,BADERI,0,0,0,3/12/2017
IMJBL-15068,NIGHARI,0,0,0,3/12/2017
IMJBL-15006,Bhagra(Umaria),0,0,0,3/12/2017
